Nombre,Categoria,Calorias,Proteinas,Carbohidratos
Ricotta (filling 1 oz),Dairy,49,3.2,0.8
Pistachio (garnish),Nut,10,0.4,0.5
Biscotti (1 cookie),Dessert,110,2.0,18.0
Espresso (for dipping),Beverage,2,0.2,0.0
Focaccia (1 square),Grain,250,8.0,40.0
Rosemary (1 tsp topping),Condiment,1,0.0,0.2
Olive Oil (1 tbsp drizzle),Condiment,120,0.0,0.0
Bruschetta (2 pcs),Snack/Appetizer,180,4.0,25.0
Balsamic Glaze (1 tsp),Condiment,13,0.0,3.0
Ribollita (1.5 cups soup),Meal/Soup,350,15.0,55.0
Cannellini Beans (1/2 cup in soup),Legume,105,7.0,20.0
Kale (1 cup in soup),Vegetable,33,2.9,6.0
Stale Bread (1/2 cup in soup),Grain,80,3.0,15.0
Polenta (1 cup creamy),Meal/Grain,150,3.0,32.0
Gorgonzola Cheese (1 oz),Dairy,100,6.0,0.7
Negroni (1 drink),Beverage,190,0.0,15.0
Gin (1 oz),Beverage,70,0.0,0.0
Campari (1 oz),Beverage,80,0.0,10.0
Sweet Vermouth (1 oz),Beverage,40,0.0,5.0
Orange Peel (garnish),Condiment,1,0.0,0.2
Osso Buco (1 serving),Meal/Meat,550,45.0,15.0
Gremolata (1 tbsp),Condiment,15,0.5,1.0
Risotto alla Milanese (1 cup),Meal/Rice,350,10.0,50.0
Saffron (pinch in risotto),Condiment,1,0.0,0.1
Panettone (1 slice),Dessert,320,6.0,50.0
Candied Fruit (1 tbsp),Fruit,30,0.0,8.0
Amaretti Cookie (2 cookies),Dessert,90,2.0,12.0
Limoncello (1.5 oz shot),Beverage,150,0.0,18.0
Panna Cotta (1 serving),Dessert,300,4.0,25.0
Berry Coulis (1 tbsp),Condiment,20,0.0,5.0
Saltimbocca (1 serving),Meal/Meat,380,38.0,5.0
Prosciutto (1 slice wrapper),Protein/Meat,35,4.0,0.0
Sage (2 leaves),Condiment,1,0.0,0.1
Polenta (grilled 1 slice),Meal/Grain,120,2.5,25.0
Caponata (1/2 cup),Meal/Vegetable,180,2.0,15.0
Eggplant (1/2 cup in caponata),Vegetable,40,0.5,6.0
Pine Nuts (1/2 tbsp),Nut,48,1.0,1.0
Raisins (1 tbsp),Fruit,27,0.3,7.0
Gelato (Pistachio 1/2 cup),Dessert,220,5.0,24.0
Waffle Cone (1 small),Grain,70,1.0,13.0
Cacio e Pepe (1.5 cups),Meal/Pasta,500,18.0,65.0
Pecorino Romano (1/4 cup),Dairy,110,7.5,1.0
Black Pepper (1/2 tsp),Condiment,3,0.1,0.7
Fiorentina Steak (3oz portion),Protein/Meat,230,24.0,0.0
Rosemary (garnish),Condiment,1,0.0,0.2
White Beans (Tuscan style 1/2 cup),Legume,150,8.0,20.0
Garlic (1 clove in beans),Vegetable,4,0.2,0.9
Sage (in beans),Condiment,1,0.0,0.1
Arancini (1 large ball),Snack/Processed,250,9.0,30.0
Ragù (filling 1 tbsp),Condiment,25,1.5,1.0
Mozzarella (filling 0.5 oz),Dairy,40,3.0,0.5
Breadcrumbs (coating),Grain,25,0.5,4.0
Campari & Soda (1 drink),Beverage,85,0.0,10.0
Olive (garnish),Fruit,5,0.0,0.1
Vitello Tonnato (1 serving),Meal/Meat,380,35.0,3.0
Tuna Sauce (2 tbsp),Condiment,100,4.0,1.0
Capers (garnish),Condiment,2,0.2,0.4
Lemon Slice (garnish),Condiment,1,0.0,0.3
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450,15.0,60.0
Tomato Sauce (1/2 cup),Condiment,40,1.5,7.0
Mozzarella (1 oz melted),Dairy,80,6.0,1.0
Basil (fresh garnish),Condiment,1,0.1,0.0
Pesto (1/4 cup),Condiment,290,5.0,4.0
Pine Nuts (1 tbsp in pesto),Nut,95,2.0,2.0
Garlic (1/2 clove in pesto),Vegetable,2,0.1,0.5
Trofie Pasta (1 cup cooked),Grain,210,7.0,43.0
Green Beans (1/2 cup w/ pasta),Vegetable,15,0.9,3.5
Potato (1/2 w/ pasta),Vegetable,65,1.0,15.0
Espresso Martini (1 drink),Beverage,280,0.5,25.0
Vodka (1.5 oz),Beverage,97,0.0,0.0
Coffee Liqueur (1 oz),Beverage,100,0.0,15.0
Espresso (1 oz in drink),Beverage,3,0.3,0.0
Simple Syrup (1/2 oz),Condiment,30,0.0,8.0
Coffee Beans (3 garnish),Snack,2,0.1,0.3
Baba Ganoush (1/4 cup),Meal/Vegetable,100,2.0,8.0
Pita Bread (1 white),Grain,165,5.5,33.0
Falafel (3 pieces),Meal/Vegetarian,180,6.0,18.0
Tahini Sauce (1 tbsp),Condiment,30,1.0,1.5
Pickled Turnips (2 tbsp),Vegetable,10,0.2,2.0
Shawarma (Chicken 1 wrap),Meal/Processed,550,30.0,50.0
Garlic Sauce (1 tbsp),Condiment,90,0.1,1.0
Hummus (1/4 cup),Legume,130,5.0,10.0
Tabouli (1/2 cup),Meal/Vegetarian,120,3.0,15.0
Bulgur (1/4 cup in tabouli),Grain,76,2.7,16.8
Parsley (1/4 cup in tabouli),Vegetable,5,0.3,1.0
Mint (1 tbsp in tabouli),Condiment,1,0.1,0.1
Lemon Juice (1 tbsp dressing),Condiment,4,0.1,1.3
Olive Oil (1 tbsp dressing),Condiment,120,0.0,0.0
Kibbeh (1 piece fried),Meal/Meat,230,9.0,20.0
Pine Nuts (1/2 tbsp filling),Nut,48,1.0,1.0
Ground Lamb (1 oz filling),Protein/Meat,80,5.5,0.0
Bulgur (1 tbsp shell),Grain,15,0.5,3.4
Lentil Soup (1 cup Middle Eastern),Meal/Legume,200,10.0,30.0
Cumin (1 tsp),Condiment,8,0.3,1.5
Coriander (1 tsp),Condiment,5,0.1,1.0
Lemon Juice (1 tsp in soup),Condiment,1,0.0,0.4
Pita Crisps (1 oz),Snack/Processed,130,3.0,18.0
Manakeesh (Za'atar 1 small),Meal/Vegetarian,300,7.0,45.0
Za'atar (1 tbsp),Condiment,40,1.0,3.0
Olive Oil (1 tbsp on bread),Condiment,120,0.0,0.0
Labneh (2 tbsp),Dairy,60,4.0,2.0
Cucumber (1/4 cup side),Vegetable,8,0.3,1.8
Tomato (1/4 cup side),Vegetable,8,0.3,1.8
Olives (5 side),Fruit,35,0.2,1.0
Mint Tea (1 cup),Beverage,2,0.1,0.5
Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,150,3.0,20.0
Rice (1/4 cup filling),Grain,51,1.1,11.1
Turkish Coffee (1 small cup),Beverage,5,0.2,0.5
Cardamom (in coffee),Condiment,1,0.0,0.2
Shish Tawook (2 skewers),Meal/Meat,300,35.0,5.0
Garlic Sauce (Toum 1 tbsp),Condiment,90,0.1,1.0
French Fries (side),Vegetable/Processed,340,4.0,44.0
Pickled Cucumber (1/4 cup),Vegetable,10,0.5,2.0
Fattoush Salad (1.5 cups),Meal/Vegetarian,250,5.0,25.0
Fried Pita (1/2 pita in salad),Grain,80,2.0,12.0
Sumac (1/2 tsp dressing),Condiment,5,0.1,1.0
Pomegranate Molasses (1 tsp),Condiment,15,0.0,4.0
